# Glossary in tab-separated format -*- coding: utf-8 -*-
pearóid-duine	parrot-man
árachas	(noun) insurance; (noun) includes types such as unemployment	 fire	 life	 health	 accident	 and marine insurance; (verb) to insure something	 such as a house or one’s life; (phrase) faoi árachas means insured.
aoi	guest
liathróid	ball
dual	(noun) a lock or tress of hair; (noun) a wisp or tuft	 such as of flax or wool; (noun) a ply or strand	 like a strand of thread or rope; (noun) a twist or twine	 as in twining a cord; (noun) a spiral or whirl	 like a smoke spiral; (noun) a dowel; (noun) a knot in timber; (adjective) native or natural	 as in what is expected of someone; (adjective) proper or fitting	 referring to rightful place or inheritance; (adjective) in the natural order of things	 fated or possible; (verb) to twine	 braid	 coil	 interlace	 or fold.
ceardchumann	union
fón	(noun) a device used for communication over distances	 commonly known as a telephone.
práta	potato
saoirse	(noun) craftsmanship	 workmanship	 art; (noun) freedom	 status of freeman	 nobility; liberty	 independence; immunity	 exemption; privilege; honorary privilege; cheapness	 inexpensiveness.
captaen	(noun) a captain.
naomh	saint
brat	cloak
díon	(noun) protection or shelter from elements and harm
íochtar	lower part
samhlaíocht	(noun) the faculty of imagining or forming new ideas.
sinsearach	(noun) a senior person; (noun) an ancestor; (adjective) senior; (adjective) ancestral.
éide	(noun) clothes or clothing; (noun) distinctive dress or vestments; (noun) historical term for armour or panoply.
dall	blind person
mín	(noun) a smooth	 fine thing or part; (noun) smooth	 level land or tract of grassland; (adjective) smooth with an even surface; (adjective) polished or smooth to touch; (adjective) free from wrinkles or hair; (adjective) not harsh; (adjective) soft and delicate; (adjective) flowing; (adjective) suave or plausible; (adjective) fine or small; (adjective) gentle or courteous; (adjective) quiet or still.
coincheap	(noun) a concept; (verb) to conceive.
freastal	(noun) attendance or service; (verb) to attend to work or help someone; (noun) attendants or helpers; (noun) school attendance; (phrase) to provide enough for one's needs; (phrase) to deal with someone.
amhránaí	singer
ardú	(noun) elevation; (noun) horseshoes; (noun) increase; (noun) exaltation; (noun) excitement.
meáchan	1. weight
tiománaí	(noun) a driver; specifically	 a cattle-driver or a driver of a bus or engine; also refers to a golf driver.
dorchadas	(1) darkness; (2) secrecy	 reserve
cleas	trick
gabháil	(1) catch	 seizure	 capture; (2) assumption of authority	 occupation of territory; (3) acceptance; (4) undertaking; (5) conception; (6) tolerance; (7) armful of hay	 turf; (8) fitting	 adjustment; (9) yoke	 harness; (10) attire; (11) control; (12) prop	 support; (13) rendering	 singing; (14) barm	 yeast	 leaven.
garraí	garden/field
portach	bog
iascaire	fisherman
meabhair	mind
meascán	(1) mass	 lump; (2) mixture	 jumble	 muddle; (3) bewilderment	 confusion; (4) hallucination
coiscéim	step
patrún	(1) pattern; (2) model; (3) sample; (4) design; (5) example
coir	crime	 offence; fault	 transgression.
seó	show
dlíodóir	lawyer
luas	(1) speed	 velocity; (2) earliness
cúigear	(1) five; (2) five men	 women	 children; (3) five of them	 of the neighbours; (4) five of the sheep are lost; (5) how many (things) are there? Five.
árasán	apartment
paidir	prayer
buairt	sorrow	 vexation
aisling	vision; vision poem
miotal	(1) metal; (2) hard	 solid material; (3) mettle	 spirit; (4) hardihood
armas	(1) arms; coat of arms; (2) protective shield	 protection
scéalaíocht	storytelling
peaca	sin
snáithe	thread
eitleán	airplane
ómós	homage	 reverence	 or respect	 often expressed in honor of someone or something.
idé	(1) idea
buaiteoir	winner
taise	(1) dampness	 moistness	 humidity; (2) softness	 smoothness	 tenderness; (3) mildness	 gentleness	 kindness	 compassion; (4) weakness	 faintness; (5) fetch	 wraith; (6) shade	 apparition	 ghost; (7) remains	 relics; (8) ruins.
creidmheas	(1) credit; (2) letter of credit; (3) credit balance
scála	scale
Cáisc	Easter
fiosrúchán	(1) act of inquiring	 inquisition; (2) court of inquiry
teileafón	(1) telephone
gaineamh	(1) sand; (2) quicksand; (3) blown sand	 drifting sand
ciorcal	(1) circle; (2) vicious circle; (3) auxiliary circle; (4) circle of similitude; (5) nine-point circle; (6) circle of inversion
uncail	(m.) (1) uncle; (gs.) ~	 (pl.) ~í
athbhreithniú	(1) review	 revision
onóir	honor
buile	madness
áilleacht	beauty.
coirce	oats
scamall	cloud
fuacht	cold
agóid	protest
beithíoch	beast; large animal; cow
troigh	foot
coicís	fortnight
cailleach	hag
aistear	journey.
eagar	order
ceapachán	appointment
eolaí	scientist
fána	1. Downward slope	 declivity
sáil	heel
ciúnas	stillness
réalta	star
samhail	(1) likeness	 semblance	 similitude; (2) image	 effigy	 representation	 model; (3) phantom	 spectre
ceardlann	workshop
seandálaíocht	archaeology
cupán	cup
buíon	band
fealsúnacht	philosophy
leac	 1. Flat stone or rock; flagstone	 slab.
béas	custom/manners
daichead	forty
cigire	inspector
éacht	achievement
eite	wing
scian	knife
pláta	plate
cú	hound
ithir	earth/soil
airí	symptom.
áth	ford
canúint	1. Speech	 expression. 2. Vernacular	 dialect. 3. Accent	 mode of pronunciation. 
cíor	comb
lánúin	couple
riocht	1. Form	 shape	 guise
aerfort	airport
scáil	shadow
eireaball	tail
bagairt	threat
teoiric	theory
úll	(1) apple; (2) fruit resembling apple; (3) the forbidden fruit; (4) Adam’s apple; (5) ball joint; (6) globular object	 ball; (7) golden apple	 precious thing; (8) tutsan.
daor	slave
bomaite	(1) moment; (2) minute
tomhas	(1) measure; (2) gauge; (3) dimensions; (4) quantity; (5) system of measurement; (6) guess; (7) riddle
strainséir	stranger
crith	shiver
mil	honey
príomhoide	Principal (teacher).
ál	brood
teist	(1) witness; (2) testimony; (3) report; (4) record; (5) recommendation; (6) reputation; (7) fame
muineál	(1) neck; (2) long neck; (3) neck of mutton; (4) neck of dress; (5) neck of land	 isthmus
sciathán	(1) wing; (2) side	 extension; part	 piece; (3) arm; (4) wicker-work lid or panel
léirmheas	1. Critical consideration	 complete assessment. 2. Criticism	 critique	 review.
gníomhaireacht	(1) activity; (2) agency
bráid	throat/neck
léine	shirt
scata	group
flaitheas	(1) rule; (2) sovereignty; (3) kingdom; (4) realm; (5) heaven
giota	bit
réabhlóid	revolution
bruscar	(1) crumbs; (2) fragments; (3) refuse; (4) rubbish; (5) rabble
sochraid	(1) body of friends; (2) host; (3) multitude; (4) allies; (5) forces; (6) funeral; (7) funeral procession; (8) cortege
timpiste	(1) accident; (2) mishap
bialann	restaurant
scair	(1) share; (2) layer	 stratum; (3) overlap; (4) spreading-ground
toirt	(1) mass; (2) volume; (3) bulk; (4) size; (5) form; (6) shape; (7) body
amadán	fool
foréigean	(1) violence; (2) force; (3) compulsion
tríú	(1) third; (2) third part
stailc	(I) (1) stubborn trait	 sulk	 sulkiness; (2) strike; (3) hunger-strike; (II) (1) starch
scread	scream
imshaol	(1) environment
cuil	(I) (1) fly; (2) may-fly; (3) caddis-fly; (4) bluebottle; (5) black fly; (6) green-fly; (7) fruit fly; (II) (1) angry appearance
bronntanas	gift	 present
ga	(I) (1) spear	 dart; (2) dart	 sting; (3) ray; (4) radius; (5) suppository; (6) gaff. (II) (1) panting	 gasping for breath
tubaiste	a significant negative event such as a calamity	 disaster	 or tragedy.
ara	(I) (1) charioteer; (2) attendant	 horseboy; (II) (1) temple
roth	wheel
seachtó	(1) seventy; (2) seventy persons	 houses
tarraingt	(1) pull	 tug; (2) drag	 haul; (3) drawing	 extraction; (4) potentiality to draw; (5) draught	 suction; (6) stretch; (7) (of speech) drawl; (8) stroke; (9) drawing	 delineation; (10) attraction	 lure; (11) withdrawal; (12) short sedge-like grass
gearrscéal	(1) short story
bratach	flag
easnamh	(1) want; (2) deficiency; (3) shortage; (4) deficit; (5) omission
léacht	lecture
sásamh	(1) satisfaction; (2) gratification	 pleasure; (3) reparation	 atonement; (4) revenge
dealbh	"statue	 figure
Deilbh: Frame	 figure	 or appearance; can also refer to the warp in weaving."
bóithrín	(1) dim. of bóthar; (2) country lane	 boreen
soir	
maighdean	(1) maiden	 virgin; (2) mermaid; (3) Virgo; (4) barren cow
faraor	(1) alas; (2) woe
cogar	(1) whisper; (2) secret	 conspiring talk
hata	hat
seisear	(I) (1) six men	 women; (2) the six of us; (3) relationship in the third degree; (II) (1) how many (things) are there? Six.
oibrí	worker
cinniúint	fate
muise	
campa	(I) (1) camp; (2) tent; (II) (1) followers; (2) faction;
clochán	(I) (1) stepping-stones; (2) (Old) stone structure; (3) stony ground;
bothán	(I) (1) diminutive of both; (2) shanty	 cabin; (3) hut	 shed	 coop; (4) game of house;
tairiscint	1. offer	 bid.
bradán	salmon
foghlaimeoir	learner
srón	nose
caipín	cap
béic	scream
scríob	1. A scrape or scratch. 2. A stroke	 effort	 or spell. 3. A marked-off limit or goal. 4. A rush or dash. 5. Stress of weather or storm.
véarsa	(1) verse; (2) stanza; (3) verse (in a broader sense)
pas	passport
bos	palm
soitheach	vessel. 1. container	 dish. 2. ship. 4. barrel	 cask
fál	hedge
eochair	key
rothar	bicycle
turasóir	tourist
lios	1. (a) Enclosed ground of (ancient) dwelling-house; enclosed space	 garth. (b) Ring-fort. (c)F: Fairy mound. 2. Ring	 halo.
cléir	clergy
uillinn	(1) elbow; (2) elbow-shaped bend	 corner	 angle; (3) angle in mathematics
nead	nest
lann	blade
rann	part
bríste	trousers
stoirm	storm
ógánach	(a) youth	 young man
coinneal	candle
briseadh	[VN] bris. 1. break. (also break as in "take a break"	 "briseadh a thógáil")
lámhscríbhinn	manuscript
bá	2. drowning. 3. immersion	 inundation.
bá	bay
dialann	diary
pionta	pint
achrann	strife	 quarrelling.
méadar	meter
iontráil	entry
brionglóid	dream
aireacht	ministry.
léaráid	diagram
aighneas	argument.
athbheochan	revival
urchar	(m) (1) cast	 shot; (2) cast of stone	 of spear; (3) gunshot	 pistol-shot; (4) cast of dice; (5) throw of shuttle (in loom); (6) a good shot	 has a good aim; (7) fairy dart
botún	mistake
píopa	pipe
toitín	cigarette
fathach	giant
uan	(1) lamb; (2) Paschal lamb; (3) the Lamb of God; (4) froth	 foam; (5) foam of wave	 of river
bata	stick
conspóid	controversy
coróin	crown
aingeal	angel.
deamhan	demon
óráid	speech
bricfeasta	breakfast
grád	grade
cró	"an opening	 ring	 or enclosure	 often with a connotation of a small	 confined space.
1. Eye	 socket. 2. Bore. 3. Aperture. 4. Ring. 5. Mechanical component. 6. Enclosure	 fold. 7. Outhouse. 8. Mean dwelling	 hovel. 9. Hollow."
baintreach	widow
glao	call
lasair	flame
banaltra	nurse
aistriú	translation.
deifir	haste
faill	(I) (1) Negligence; (2) Unguarded state; (3) Chance	 opportunity; (4) Time	 occasion; (5) Cessation	 easement.
dlínse	(I) (1) jurisdiction
scáthán	mirror
moille	(I) (1) Slowness; (2) lateness;
glaoch	(I) (1) a call; (2) a demand for goods; (3) a claim on one's time.
neamhspleáchas	independence
tarbh	bull
túr	tower
gramadach	(science of) grammar
giolla	boy/servant
plúr	(I) (1) flour; (2) flower; (3) (plúr ruibhe) flowers of sulphur; (4) (plúr carraige) rock flour.
múnla	mold
muileann	mill
ailtireacht	architecture.
méara	(I) (1) mayor.
coiteann	(I) (1) commonalty; (2) community; (3) common (of land).
créatúr	(I) (1) created thing; (2) expression of sympathy for a poor thing; (3) contemptuous term for a good-for-nothing creature.
leithreas	toilet
brabús	(I) (1) profit; (2) advantage.
fíric	(I) (1) fact.
buama	bomb
móid	(I) (1) vow; (2) (móideanna baiste) baptismal vows; (3) (móid gheanmnaíochta) vow of chastity; (4) (móid chrábhaidh) monastic vow; (5) (Briathar móide) pledged word.
sliogán	shell
crios	belt/zone
grán	grain
dífhostaíocht	unemployment
oide	teacher
misean	mission
caladh	quay
luch	mouse
comrádaí	comrade
acra	1. Tool	 implement. acraí tí	 household utensils. 2. Service	 convenience. 
acra	acre
gadhar	hound
coirnéal	corner/Colonel
staraí	historian
cáis	cheese
sceach	bush
friotal	Speech	 expression	 utterance.
eangach	net
sionnach	fox
macalla	echo
éagóir	injustice
prionsa	prince
mallacht	curse
ceolchoirm	concert
beairic	barracks
seanfhocal	proverb
oileánach	islander
léachtóir	lecturer
scáileán	screen
rón	seal
gnás	custom	 usage
gadaí	thief
téad	rope
sioc	frost
orlach	inch
fréamh	root
príomhchathair	capital (city)
scoláireacht	scholarship
airgeadra	currency.
iarsma	relic
ainmfhocal	noun
taoide	1. tide. 2. time	 spell.
cliabh	chest (of body)
meangadh	smile
faiche	green/field
deatach	smoke
gúna	gown/dress
piléar	bullet
aturnae	attorney
fia	deer
sealbhóir	occupier; possessor	 holder	 occupant
searmanas	ceremony
leid	clue
ailse	cancer.
canna	can
cnaipe	button
leabhrán	booklet
boc	buck
intleacht	intellect (noun)
cumha	sorrow
aeráid	climate.
caife	coffee
lipéad	label
lus	herb
ráfla	"1. (Act of) warbling	 singing; chattering	 gossiping. 
2. Rumour	 report."
acadamh	academy.
garsún	boy
siúlóid	walk
seic	check
cuach	cuckoo
cléireach	clerk
ab	abbot.
airne	sloe	 gland.
altóir	altar
coileach	rooster
treibh	tribe
crúb	hoof
eisceacht	exception
bacach	lame person
pléisiúr	pleasure
gé	goose
rabhadh	warning
slabhra	chain
cleite	feather
dámh	faculty
coinín	rabbit
beach	bee
nimh	poison
osna	sigh
achtachán	enactment.
paisinéir	passenger
iarnród	railroad
aintín	aunt
pluais	cave
bainis	wedding
naíonán	infant
taibhse	ghost
aisíoc	repayment.
geis	geis (taboo)
gealltanas	promise
ceapaire	sandwich
aoibh	1. Lit: Form	 beauty. 2. Smile; pleasant expression
sicín	chicken
inchinn	brain
foilsitheoir	publisher
fásach	desert
léiritheoir	producer
taom	fit/attack
eala	swan
fraoch	1. Heather. 2. heath	 moor
forás	growth
adharc	horn. 4. Peak. 6. erection
péintéir	painter
masla	insult
caillteanas	loss
cónra	coffin
coinsias	conscience
míol	animal
maor	steward
goile	1. stomach. 2. appetite
anraith	soup
neacht	niece
cith	shower
lúthchleas	athlete
cruachás	Predicament; difficulty	 distress. 
ceirnín	record
girseach	girl
uacht	will (legal)
peata	pet
foraois	forest
ministir	minister
peileadóir	footballer
mias	"1. Lit:(a) Board	 slab; table. (b) Altar-slab	 altar. 2. (a) Dish. ~ chré	 earthenware dish. ~ phióige	 pie-dish. (b)Cu: Dish. ~ oisrí	 dish of oysters. Fuair sé ar a mhias féin é	 it was dished out to him; he was told off in no uncertain terms. (c) Shallow basin. ~ bhainne	 basin of milk; milk cooler. 3. Phot:~ fosaithe	 fixing bath. ~ réalta	 developing tray.

laige	weakness
cliant	client
siúr	1. Sister, kinswoman
cnó	nut
pátrún	patron
scaif	scarf
seanathair	grandfather
ascaill	armpit
draoi	druid
draoi	Great number or amount.
cúntóir	assistant
laoi	lay, (narrative) poem
dair	oak
siocair	cause or excuse
péist	worm
féasta	feast
píobaire	piper
scilling	shilling
racht	fit/fit of emotion
dúthracht	1. Devotion, fervour; earnestness, diligence. . 2. Goodwill; goodwill offering, favour
uaimh	cave
casóg	coat/jacket
achoimre	summary.
foscadh	1. (literary) shade, shadow. 2. shelter.
cuisle	pulse/vein
teallach	hearth
uaireadóir	watch (timepiece)
taisme	accident
císte	cake
abhcóide	advocate.
curach	curragh (small boat)
léan	"Deep affliction; grief, anguish, woe.
A sense of sorrow and oppression.
Used in phrases indicating woe, grief, or holding a grudge.
aoir	satire
marcach	horseman
sú	"A. 1. juice. 2. sap	 vigor	 energy. 3. soup.
B. also [súigh-VN] (sucking) [Different declensions]"
achainí	Request	 entreaty	 petition.
loinnir	shine/glow
seift	device/stratagem
beoir	beer
lampa	lamp
otharlann	hospital
aigéan	ocean.
aistritheoir	translator.
machaire	plain/field
féasóg	beard
comhla	valve
sclábhaí	slave
blúire	bit	 fragment
cuairteoir	visitor
cláraitheoir	registrar
íobairt	sacrifice
seilf	shelf
aiféala	regret.
colm	dove/pigeon/scar
cóiste	coach
innealtóir	engineer
seanchaí	historian
saotharlann	laboratory
bior	point
feadóg	whistle
adamh	atom.
meitheal	work team
teangeolaíocht	linguistics
oráiste	orange
foighne	patience
bunaitheoir	founder
pláinéad	planet
iolra	1. Multiplicity	 plurality. 2. Gram: Plural. 3. (Used as attrib.a.) Gram:Phil: Plural.
gnúis	1. face.  2. Sour expression	 frown.
naomhóg	currach
aisteoireacht	acting
stábla	stable
seabhac	hawk
unsa	(m.) (1) ounce; (gs.) ~	 (pl.) ~í
iomaitheoir	competitor
deoraí	exile
gealt	madman
veain	1) van; (2) vehicle; (3) conveyance
ribe	hair
buicéad	bucket
árthach	vessel
rós	rose
moltóir	judge
lána	lane
aerárthach	aircraft.
aidiacht	adjective
faoileán	seagull
aoire	shepherd
lao	calf
íde	1. Ill usage; (wretched) state	 plight. ≈ tongue lashing. 
tréad	herd
ceardaí	craftsman
aguisín	Addition	 addendum.
spota	spot
nathair	snake
constaic	obstacle
bé	maiden
ailtire	architect
dréimire	ladder
coirm	feast
milseán	sweet
scuaine	queue
camán	hurling stick
drogall	Aversion	 reluctance	 or laziness.
bithiúnach	scoundrel
caor	berry
gála	gale
rabharta	flood
aga	period	 interval.
conraitheoir	contractor
cipín	stick
máistreás	mistress
cófra	cover/cupboard
aspal	apostle
biorán		 m. (gs. & npl. -áin	 gpl. ~). 1. Pin. ~ gruaige	 hata	 hairpin	 hat-pin. ~ brollaigh	 breast-pin; brooch. ~ dúnta	 safety pin. ~ suain	 (in folk tales) sleep charm. ~ a chur i rud	 to stick a pin in sth. Ní fiú ~ é	 it is worthless. Ar bhiorán buí bhuailfinn é	 for two pins I’d strike him. Ag imirt ~ sop	 casting lots (with straws). 2. ~ cniotála	 knitting-needle. ~ cróise	 crochet-hook. ~ eangaí	 net-maker’s needle. Tá sé ar bhiorán an chúil agam	 I have it nearly completed. Tá sé ar na bioráin agam	 I have it in hand. Tá an iomarca ar na bioráin agat	 you have too many irons in the fire. 3. Hand (of clock).
bailitheoir	collector
bádóir	boatman
barróg	1	 f. (gs. -óige	 npl. ~a	 gpl. ~).1. Hug. ~ a bhreith ar dhuine	 to hug s.o. 2. Wrestling grip. D’fháisc siad ~ ar a chéile	 they got to grips with each other. 3. Brogue	 impediment of speech.
aigéad	acid.
bréagán	Toy	 plaything. ~ linbh	 child’s plaything. Siopa ~	 toy-shop. 2. (Of woman) Doll.
airdeall	alertness.
ainmní	grammatical subject.
gliomach	lobster
carthanacht	charity/love
teachtaire	ambassador/messenger
féilire	calendar
tuiseal	(grammar) case
fleá	feast/banquet
spúnóg	spoon
bairille	barrel
aicíd	disease.
consan	consonant
aclaíocht	agility.
ceannaitheoir	buyer
mairnéalach	sailor
oidhre	heir
réiteoir	1. Arbitrator; conciliator	 peacemaker. 2. Sp: Referee. 3. (Device) Cleaner. ~ píopa	 pipe-cleaner.
gamhain	calf
leithinis	peninsula
gráin	1. Hatred	 abhorrence
ród	rod
oinniún	onion
cinnire	Person leading an animal. 2. Guide or attendant. 3. Specific roles: leader of a horse or plough team.
scamhóg	lung
nod	nod
coirpeach	criminal
leadóg	tennis
anró	hardship
grua	cheek
ciseán		 m. (gs. & npl. -áin	 gpl. ~).1. (Wicker) basket. ~ aráin	 éadaigh	 fuála	 bread-	 clothes-	 work-	 basket. ~ éisc	 fish-basket. 2. ~ éan	 (wicker) bird-trap.
rothaí	cyclist
searbhónta	Servant. (Var:searbhfhoghantaidhe m)
bard	bard
siolla	syllable
inscne	gender
aithrí	repentance.
seoid	jewel
ionga	(anat) nail; hoof; clove 
bogha	bow
tallann	talent
iománaí	hurler
cabhail	body/frame
sciorta	skirt
radacach	(1) radical
achadh	field.
casúr	Hammer
rolla	roll
canáil	canal
fuíoll	Remainder	 remains
guta	vowel
Coimisiún	commission
dílleachta	orphan
rámh	oar
rúndiamhair	mystery
nia	nephew
iomaire	ridge
dealg	thorn
díoltóir	seller
áibhéil	exaggeration
saighead	arrow
aitheasc	exhortation.
ráille	rail
iolar	eagle
ancaire	anchor
éisteoir	listener
gaiscíoch	1. Man of prowess (in arms); warrior	 hero. 2. Boaster.
fionnachtain	1. (Act of) finding; find	 discovery. 2. Invention.
seastán	(1) stand; (3) flower-	 music-	 book-	 stand; (4) grandstand
aineolas	ignorance.
pluid	blanket
muinchille	sleeve
aiséirí	resurrection.
féileacán	butterfly
muga	mug
sac	sack
riarthóir	administrator
matán	muscle
táilliúir	tailor
aicsean	action	 feat.
gall	foreigner
bábóg	doll
tua	axe; hatchet
tairngreacht	prophecy
briosca	biscuit
búistéir	butcher
tincéir	tinker
siopadóir	shopkeeper
folús	Emptiness; vacuum	 void.
banbh	piglet
suáilce	virtue
damhsóir	dancer
síleáil	1. Ceiling. 2. Wainscotting. 3. Partition (in house	 etc.).
síleáil	Severe trial; hardship	 toil.
tom	bush
irisleabhar	magazine
aitheach	renter/ churl.
rinceoir	dancer
ceannaí	merchant
mianra	mineral
deilbh	Frame	 figure	 or appearance; can also refer to the warp in weaving.
saothraí	laborer
mallaigh	(1) accursed person; (2) wicked person; (3) accursed of God; (4) vicious animal; (5) damnable trick; (6) abominable weather; (7) unholy desire; (8) bad lot
toit	smoke
cláirseach	harp
fealsamh	philosopher
aisghairm	repeal.
garáiste	garage
craos	gullet
cadás		 m. (gs. & npl. -áis	 gpl. ~). Cotton.
míthuiscint	misunderstanding
simléar	chimney
cuileog	fly
seanmóir	sermon
cailc	chalk
fothain	1. shelter. 2. discretion.
clúid	corner/cover
giúis		 f. (gs. ~e	 pl. ~eanna). Fir	 pine; deal. Crann ~e	 fir-tree	 pine-tree. ~ gheal	 silver fir. ~ bhán	 bhuí	 white	 yellow	 pine(wood). ~ Dhúghlais	 Douglas fir. ~ phortaigh	 bog-deal. S.a. MAIDE 1(a).
mangaire	pedlar
aighneacht	submission.
aireachtáil	perception.
créafóg	clay	 earth
buatais	boot
meadaracht	meter (poetry)
cairde	"1. respite. 2. (commerce) credit. 3. delay.
[Also the plural of ""cara""]"
moncaí	monkey
pléascán	explosion
brídeog	bride
náisiúntacht	nationality
taos	 1. Dough. Bíonn an ~ leis an iarta	 leis an oigheann	 i gcónaí aige	 he is forever trying to make ends meet. 2. Paste. ~ éisc	 fish-paste. ~ fiacla	 tooth-paste. 3 = TAOISLEANN.
crónán	(act of) humming; hum
aiteann	furze	 gorse.
earráid	error
carráiste	carriage
féirín	1. fairing; gift	 present. 2a. valuable acquisition.
céadfa	sense/perception
ainnise	misery.
dúshraith	foundation
deabhadh	"	 m. (gs. -aidh). Haste	 hurry. ~ a bheith ort	 to be in a hurry. ~ a dhéanamh (le rud)	 to make haste (with sth.). Prov:Moill ar tí	 in aghaidh	 le linn	 (an) Deabhaidh	 more hurry less speed. (Var:deabha f)

creig	crag/rock
leoithne	breeze
úrscéalaí	(m.) (1) novelist
teagascóir	instructor
cleasaíocht	trickery
Gallda	(1) mile, English statute mile; (2) Éirí gallda, to become Anglicized
aimhleas	harm, evil.
aithreachas	repentance.
dornálaí	boxer
cliabhrach	bodily frame; chest
iarla	earl
tarracóir	tractor
raithneach	(collective) Fern, bracken
dúch	ink
cuntasóir	accountant
doineann	.1. Stormy weather, storm. Tá doineann air, there is a storm brewing. Soineann nó doineann, fair or foul weather. Prov:Cothú na doininne soineann na hoíche, a calm night presages a storm. S.a. doineannsmadra1 4(a).2. (Of demeanour) Wintriness, cheerlessness.
eascaine	curse
neantóg	nettle
lámhleabhar	handbook
turcaí	turkey
ainnir	maiden.
cócaire	cook
lasta	cargo/load
áirse	arch.
ábaltacht	ability, strength
easna	rib
díle	flood
tuáille	towel
fiaclóir	dentist
cailís	chalice
cráin	crane (bird)
lóchrann	lantern
báisín	basin
sluasaid	shovel
amaidí	folly
caonach	"moss. 
~ liath: mildew
aibítir	alphabet.
sióg	fairy
caiséad	cassette
ceirt	rag
aimhréidh	entanglement.
peacach	sinner
anachain	calamity
ispín	sausage
agó	objection	 stipulation.
sceallóg	chip	 thin slice. 
céir	wax
láir	mare
tormán	noise
fallaing	robe
cuibheas	Fitness	 propriety; seemliness	 decency.
fiántas	1. Wildness	 fierceness	 savageness. 2. Wilderness. 
ceárta	1. forge. 2. Centre of activity	 of gossip. 3. collection of objects
díolaim	anthology
spiaire	spy
milseog	dessert
bairneach	limpet
ainniseoir	wretch.
crúiscín	jug
cealg	sting
galún	gallon
róba	robe
searrach	foal
aibhléis	electricity.
céachta	plough
áiféis	exaggeration.
broc	refuse/discards/badger
casacht	cough
anfa	storm
pianó	piano
ruainne	fragment/strand
áiléar	loft	 gallery of paintings etc.
réaltóg	star
coscán	brake
tionóisc	accident
míthreoir	misinformation
aimsiú	aim.
braillín	sheet
siúinéir	carpenter
adhradh	worship.
trup	Tramp; noise	 din.
dallóg	blindfold
flaith	prince/noble
scrúdaitheoir	examiner
eitic	ethics
dorchla	Corridor.
féidearthacht	possibility
carcair	prison
agairt	plea.
sealgaire	hunter
snoíodóireacht	(Act of) cutting	 carving	 sculpturing.
stua	arch
bóna	collar
deachtóir	dictator
diúracán	missile
ail	stone.
coisí	pedestrian
leabharlannaí	librarian
bladhm	flame
ceant	auction
láithreacht	presence
siosúr	scissors
rúitín	ankle
adhlacadh	burial	 funeral.
clódóir	printer
áititheoir	occupier.
meisceoir	drunkard
breab	bribe
péarla	pearl
adhastar	"Halter. 
Ar adhastar	 haltered	 led. 
Tá sé ar adhastar aici	 he is captivated by her. 
Bhéarfadh adhastar sneachta ann é	 he needs no persuasion to go there. 
Chuir sí a ceann in adhastar an anró	 she made an unfortunate marriage. 
Tá sé ag rith ar chos in adhastar	 he will trip himself up. 
Lig fad an adhastair leis	 give him plenty of rope."
pleidhce	fool
ciotóg	left hand
folcadán	bathtub
bláthach	buttermilk
aiféaltas	shame.
siléar	cellar
aeistéitic	aesthetics.
bearbóir	barber
tlú	tongs
áineas	sport	 play.
blaincéad	blanket
léana	meadow
tuisle	1. fall	 stumble	 trip. 2. slip	 blunder
tuisle	hinge
ailp	lump.
aibíocht	ripeness.
casán	brooch
aiseolas	feedback.
meancóg	mistake
cuilt	quilt
teicneoir	technician
aireachas	attention.
racán	noise
áiméar	chance.
tréidlia	Veterinary surgeon.
seamróg	shamrock
tarraiceán	drawer
reachtaire	governor
aicearra	shortcut.
óstóir	host
aisfhreagra	retort.
claibín	little lid (diminutive of "clab"). 3. bar of latch.
aibíd	monk’s habit	 shroud.
achasán	insult.
cnámharlach	1. skeleton. 2. extremely thin	 lanky	 person or animal.
veist	(1) vest	 waistcoat; (2) sleeved waistcoat (faoi mhuinchillí);
sreangán	string
áibhirseoir	devil.
téitheoir	heater
aiteas	fun	 pleasantness.
bladhaire	chatterbox
baincéir	banker
draein	drain
coimpléasc	1. Physical constitution; digestive system. 2. Girth	 circumference.
glóthach	"1. Jelly. 
Mála	 múnla	 glóthaí	 jelly-bag	 -mould. ~ bheathaithe	 gelatine meat-broth. ~ chóipeála	 hectograph jelly. ~ a dhéanamh de rud	 to jelly sth. Rinne sé carn glóthaí de	 he knocked him in a heap. 
2. Ch: Gel. 
3. Vet: Animal slime. 4. ~ fhroig	 frog-spawn."
leasmháthair	stepmother
neamhshuim	Lack of interest	 disregard	 indifference.
abacas	abacus.
abarthacht	wittiness.
abhac	dwarf.
ábhach	hole.
ábhacht	drollery.
ábhaillí	mischief.
abhantrach	river basin.
ábharachas	materialism.
ábharaí	materialist.
ábharthacht	relevancy.
abhcóideacht	advocacy.
abhlann	wafer.
abhlóir	buffoon.
abhóg	poor impulse.
abhras	yarn	 handiwork.
ablach	carrion	 carcass.
acadamhaí	academician.
acastóir	axel.
achomaireacht	brevity.
achomharcóir	appellant.
acraíocht	acreage.
adhaint	inflammation	 ignition in car
adhairt	bolster	 pillow.
adhall	heat (only in dogs).
adhaltranas	adultery.
adharcán	tentacle	 antenna.
adhartán	cushion	 compress.
adhlacóir	undertaker.
adhmadóir	woodworker
adhmadóireacht	woodwork; carpentry
adhmaint	magnet.
adhmholadh	eulogy.
adhnua	novelty.
adhraitheoir	worshiper.
aeracht	gaiety.
aeradróm	aerodrome.
aeraíl	ventilation.
